Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
16-MAR-2026,23116.10,23502.00,22955.25,23408.80,540293230,44710.21
17-MAR-2026,23493.20,23656.80,23346.60,23581.15,458788167,34495.73
18-MAR-2026,23632.90,23862.25,23618.45,23777.80,382876401,28805.60
19-MAR-2026,23197.75,23378.70,22930.35,23002.15,550147401,42000.27
20-MAR-2026,23110.15,23345.15,23067.60,23114.50,663289390,50308.33
23-MAR-2026,22824.35,22851.70,22471.25,22512.65,550275334,41002.59
24-MAR-2026,22878.45,23057.30,22624.20,22912.40,538098322,43385.04
25-MAR-2026,23064.40,23465.35,23063.20,23306.45,505418973,40733.98
27-MAR-2026,23173.55,23186.10,22804.55,22819.60,612556883,47239.20
30-MAR-2026,22549.65,22714.10,22283.85,22331.40,698599891,53093.70
01-APR-2026,22899.00,22941.30,22618.60,22679.40,517954448,41192.20
02-APR-2026,22383.40,22782.30,22182.55,22713.10,495121035,38669.56
06-APR-2026,22780.30,22998.35,22542.95,22968.25,426416812,35893.16
07-APR-2026,22838.70,23153.85,22719.30,23123.65,476981883,38940.47
08-APR-2026,23855.15,24025.15,23828.50,23997.35,639257993,56557.11
09-APR-2026,23909.05,23990.75,23682.80,23775.10,466587329,40443.59
10-APR-2026,23880.55,24074.05,23856.35,24050.60,481302436,40109.22
13-APR-2026,23589.60,23907.40,23555.60,23842.65,488844789,41931.51
