"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2026-04-02 15:21:24","SELL","BANKNIFTY26APR53000CE","NRML","0/30",0,"REJECTED",""
"2026-04-02 15:15:55","SELL","BANKNIFTY26APRFUT","NRML","0/30",0,"REJECTED",""
"2026-04-02 15:15:47","BUY","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
"2026-04-02 15:14:44","BUY","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
"2026-04-02 15:14:33","SELL","BANKNIFTY26APRFUT","NRML","0/30",0,"REJECTED",""
"2026-04-02 15:14:16","BUY","BANKNIFTY26APR51000CE","NRML","30/30",2191.25,"COMPLETE",""
"2026-04-02 15:13:50","SELL","BANKNIFTY26APRFUT","NRML","0/30",0,"REJECTED",""
"2026-04-02 15:13:34","BUY","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
"2026-04-02 14:45:01","SELL","NIFTY26APR22200CE","NRML","0/65",0,"REJECTED",""
"2026-04-02 14:04:45","BUY","NIFTY26APR23500CE","NRML","65/65",271.9,"COMPLETE",""
"2026-04-02 13:52:01","SELL","BANKNIFTY26MAY49500PE","NRML","0/30",0,"REJECTED",""
"2026-04-02 13:51:42","SELL","NIFTY26APR22200CE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:50:38","BUY","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
"2026-04-02 13:49:24","SELL","NIFTY26APR22200PE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:48:39","SELL","NIFTY26APR23000CE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:48:19","SELL","NIFTY26APR22200CE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:48:13","BUY","NIFTY26APR22500PE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:47:44","SELL","BANKNIFTY26MAY50000CE","NRML","30/30",3042.75,"COMPLETE",""
"2026-04-02 13:47:38","BUY","BANKNIFTY26MAY52500CE","NRML","30/30",1675.9,"COMPLETE",""
"2026-04-02 13:47:30","BUY","BANKNIFTY26MAY51000CE","NRML","0/30",0,"REJECTED",""
"2026-04-02 13:47:15","BUY","BANKNIFTY26MAY51000PE","NRML","0/30",0,"REJECTED",""
"2026-04-02 13:46:52","BUY","BANKNIFTY26MAY47000PE","NRML","30/30",854.25,"COMPLETE",""
"2026-04-02 13:46:08","SELL","NIFTY26APR22200CE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:45:56","SELL","NIFTY26APR23500CE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:45:47","BUY","NIFTY26APR22500PE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:45:42","SELL","NIFTY26APR23500CE","NRML","65/65",266.05,"COMPLETE",""
"2026-04-02 13:45:34","BUY","NIFTY26APR22500PE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:45:20","SELL","NIFTY26APR22200CE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:45:01","BUY","NIFTY26APR23500CE","NRML","65/65",266.45,"COMPLETE",""
"2026-04-02 13:44:49","SELL","NIFTY26APR23000CE","NRML","65/65",466.9,"COMPLETE",""
"2026-04-02 13:44:37","SELL","NIFTY26APR22200CE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:44:31","BUY","NIFTY26APR23500CE","NRML","65/65",266.45,"COMPLETE",""
"2026-04-02 13:44:08","SELL","NIFTY26APR23000CE","NRML","65/65",471.3,"COMPLETE",""
"2026-04-02 13:43:53","BUY","NIFTY26APR23500CE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:43:24","SELL","NIFTY26APR22200CE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:43:18","BUY","NIFTY26APR23500CE","NRML","65/65",265.5,"COMPLETE",""
"2026-04-02 13:42:53","SELL","NIFTY26APR22200CE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:42:44","BUY","NIFTY26APR23000CE","NRML","65/65",467.9,"COMPLETE",""
"2026-04-02 13:41:55","BUY","NIFTY26APR22500CE","NRML","0/65",0,"REJECTED",""
"2026-04-02 13:41:24","BUY","BANKNIFTY26MAY51000CE","NRML","0/30",0,"REJECTED",""
"2026-04-02 13:40:48","SELL","BANKNIFTY26APR50000CE","NRML","30/30",2401.9,"COMPLETE",""
"2026-04-02 13:40:35","BUY","BANKNIFTY26APR51500CE","NRML","30/30",1528.05,"COMPLETE",""
"2026-04-02 10:35:09","SELL","BANKNIFTY26MAY47000PE","NRML","30/30",1054.35,"COMPLETE",""
"2026-04-02 10:34:39","SELL","BANKNIFTY26MAY52000CE","NRML","0/30",0,"REJECTED",""
"2026-04-02 10:34:30","SELL","BANKNIFTY26MAY52000CE","NRML","30/30",1534.05,"COMPLETE",""
"2026-04-02 10:34:17","BUY","BANKNIFTY26MAY50000CE","NRML","30/30",2587.85,"COMPLETE",""
"2026-04-02 10:33:58","SELL","BANKNIFTY26MAY51000PE","NRML","30/30",2404,"COMPLETE",""
"2026-04-02 10:33:52","BUY","BANKNIFTY26MAY49500PE","NRML","30/30",1773.3,"COMPLETE",""
"2026-04-02 10:33:45","SELL","BANKNIFTY26MAY51000PE","NRML","30/30",2397.05,"COMPLETE",""
"2026-04-02 10:33:37","BUY","BANKNIFTY26MAY49500PE","NRML","30/30",1760.4,"COMPLETE",""
"2026-04-02 10:33:31","SELL","BANKNIFTY26MAY51000PE","NRML","30/30",2397.05,"COMPLETE",""
"2026-04-02 10:33:22","BUY","BANKNIFTY26MAY49500PE","NRML","30/30",1763.6,"COMPLETE",""
"2026-04-02 10:31:51","BUY","BANKNIFTY26MAY50000CE","NRML","0/30",0,"REJECTED",""
"2026-04-02 09:26:01","SELL","BANKNIFTY26APR53000CE","NRML","30/30",617.25,"COMPLETE",""
"2026-04-02 09:23:36","SELL","BANKNIFTY26MAY52000CE","NRML","0/30",0,"REJECTED",""
"2026-04-02 09:23:01","SELL","BANKNIFTY26APR51000CE","NRML","0/30",0,"REJECTED",""
"2026-04-02 09:22:44","SELL","BANKNIFTY26APR51000CE","NRML","0/30",0,"REJECTED",""
"2026-04-02 09:22:27","BUY","NIFTY26APR22200CE","NRML","65/65",748.85,"COMPLETE",""
"2026-04-02 09:21:08","BUY","BANKNIFTY26APR50000CE","NRML","30/30",1956.05,"COMPLETE",""
"2026-04-02 09:20:29","SELL","BANKNIFTY26APR51000PE","NRML","30/30",2050.15,"COMPLETE",""
"2026-04-02 09:20:23","BUY","BANKNIFTY26APR50000PE","NRML","30/30",1601.1,"COMPLETE",""
