"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2026-04-10 14:58:19","SELL","BANKNIFTY26MAY55000PE","NRML","30/30",1124.75,"COMPLETE",""
"2026-04-10 14:57:43","BUY","BANKNIFTY26MAY55700CE","NRML","30/30",1843.95,"COMPLETE",""
"2026-04-10 14:57:31","BUY","BANKNIFTY26MAYFUT","NRML","30/30",56161.4,"COMPLETE",""
"2026-04-10 14:57:18","SELL","BANKNIFTY26APR56000PE","NRML","0/30",0,"REJECTED",""
"2026-04-10 14:57:06","BUY","BANKNIFTY26MAY55000PE","NRML","30/30",1131.95,"COMPLETE",""
"2026-04-10 14:48:21","BUY","BANKNIFTY26APR56000CE","NRML","0/30",0,"REJECTED",""
"2026-04-10 14:47:39","BUY","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
"2026-04-10 14:44:39","BUY","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
"2026-04-10 14:42:06","SELL","BANKNIFTY26APR56000PE","NRML","0/30",0,"REJECTED",""
"2026-04-10 14:40:33","SELL","BANKNIFTY26MAY55500PE","NRML","0/30",0,"REJECTED",""
"2026-04-10 14:40:13","BUY","BANKNIFTY26MAY55700CE","NRML","0/30",0,"REJECTED",""
"2026-04-10 14:40:05","SELL","BANKNIFTY26MAYFUT","NRML","30/30",56051.4,"COMPLETE",""
"2026-04-10 14:39:34","SELL","BANKNIFTY26MAY56000PE","NRML","30/30",1507.05,"COMPLETE",""
"2026-04-10 14:39:24","BUY","BANKNIFTY26MAY55500PE","NRML","30/30",1332,"COMPLETE",""
"2026-04-10 14:39:09","BUY","BANKNIFTY26MAY55700CE","NRML","30/30",1802.95,"COMPLETE",""
"2026-04-10 14:38:43","SELL","BANKNIFTY26MAY55500PE","NRML","30/30",1329,"COMPLETE",""
"2026-04-10 14:38:31","SELL","BANKNIFTY26MAY56000PE","NRML","0/30",0,"REJECTED",""
"2026-04-10 14:38:25","BUY","BANKNIFTY26MAY55500PE","NRML","30/30",1342.35,"COMPLETE",""
"2026-04-10 14:38:20","SELL","BANKNIFTY26MAY56000PE","NRML","60/60",1521.08,"COMPLETE",""
"2026-04-10 14:38:11","BUY","BANKNIFTY26MAY55500PE","NRML","60/60",1349.38,"COMPLETE",""
"2026-04-10 10:54:34","SELL","BANKNIFTY26MAYFUT","NRML","30/30",56152.2,"COMPLETE",""
"2026-04-10 10:54:21","SELL","BANKNIFTY26MAY49500PE","NRML","30/30",282.85,"COMPLETE",""
"2026-04-10 10:54:12","BUY","BANKNIFTY26MAY56000PE","NRML","30/30",1480,"COMPLETE",""
"2026-04-10 10:54:01","SELL","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
"2026-04-10 10:53:52","SELL","BANKNIFTY26MAY49500PE","NRML","30/30",279.55,"COMPLETE",""
"2026-04-10 10:53:21","SELL","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
"2026-04-10 10:46:21","SELL","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
"2026-04-10 10:41:25","SELL","BANKNIFTY26MAY57500CE","NRML","0/30",0,"REJECTED",""
"2026-04-10 10:25:54","SELL","BANKNIFTY26MAY55000PE","NRML","0/30",0,"REJECTED",""
"2026-04-10 10:25:43","SELL","BANKNIFTY26MAY55000PE","NRML","30/30",1080,"COMPLETE",""
"2026-04-10 10:24:22","SELL","NIFTY26MAY24000PE","NRML","65/65",500.05,"COMPLETE",""
"2026-04-10 10:24:11","SELL","NIFTY26MAY24000PE","NRML","65/65",500.8,"COMPLETE",""
"2026-04-10 10:22:45","SELL","BANKNIFTY26MAY54500PE","NRML","60/60",945.3,"COMPLETE",""
"2026-04-10 10:22:36","BUY","BANKNIFTY26MAY56000PE","NRML","60/60",1435.15,"COMPLETE",""
"2026-04-10 10:22:01","SELL","BANKNIFTY26MAY56000CE","NRML","120/120",1704.61,"COMPLETE",""
"2026-04-10 10:21:51","BUY","BANKNIFTY26MAY56500CE","NRML","120/120",1428.11,"COMPLETE",""
"2026-04-10 10:20:08","SELL","BANKNIFTY26APR54600PE","NRML","30/30",558.1,"COMPLETE",""
"2026-04-10 10:20:01","SELL","BANKNIFTY26APR55500CE","NRML","60/60",1356.2,"COMPLETE",""
"2026-04-10 10:19:51","BUY","BANKNIFTY26APR56000PE","NRML","30/30",1011.1,"COMPLETE",""
"2026-04-10 10:19:32","BUY","BANKNIFTY26APR56000CE","NRML","60/60",1050,"COMPLETE",""
