"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2026-03-30 15:06:32","BUY","NIFTY26APR22000PE","NRML","0/65",0,"REJECTED",""
"2026-03-30 15:06:11","SELL","NIFTY26MAYFUT","NRML","0/65",0,"REJECTED",""
"2026-03-30 15:05:44","BUY","NIFTY26APR22100PE","NRML","0/65",0,"REJECTED",""
"2026-03-30 15:05:02","BUY","BANKNIFTY26MAY51000CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 15:03:51","SELL","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
"2026-03-30 15:03:20","SELL","BANKNIFTY26APR54500CE","NRML","30/30",401.25,"COMPLETE",""
"2026-03-30 15:03:05","SELL","BANKNIFTY26APR51500CE","NRML","30/30",1402.1,"COMPLETE",""
"2026-03-30 15:03:00","SELL","BANKNIFTY26APR51000CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 15:02:51","SELL","BANKNIFTY26APR50500CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 15:01:34","SELL","BANKNIFTY26APR51500CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 15:01:20","BUY","BANKNIFTY26APR54500CE","NRML","30/30",404.15,"COMPLETE",""
"2026-03-30 15:00:52","SELL","BANKNIFTY26APR53000CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 15:00:31","SELL","BANKNIFTY26MAYFUT","NRML","0/30",0,"REJECTED",""
"2026-03-30 15:00:16","SELL","BANKNIFTY26MAYFUT","NRML","30/30",50921.6,"COMPLETE",""
"2026-03-30 15:00:06","SELL","BANKNIFTY26APR50500PE","NRML","60/60",1773.8,"COMPLETE",""
"2026-03-30 15:00:00","BUY","BANKNIFTY26APR50000PE","NRML","60/60",1552.35,"COMPLETE",""
"2026-03-30 14:59:33","SELL","BANKNIFTY26APR51500CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 14:59:15","SELL","BANKNIFTY26APR51000CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 14:59:06","SELL","BANKNIFTY26APR50500CE","NRML","30/30",1952.25,"COMPLETE",""
"2026-03-30 14:59:01","BUY","BANKNIFTY26APR51500CE","NRML","60/60",1439.65,"COMPLETE",""
"2026-03-30 14:58:45","SELL","BANKNIFTY26APR50500CE","NRML","30/30",1955.5,"COMPLETE",""
"2026-03-30 14:58:31","BUY","BANKNIFTY26APR51500CE","NRML","60/60",1436.9,"COMPLETE",""
"2026-03-30 14:58:05","SELL","NIFTY26APR22400CE","NRML","65/65",763.75,"COMPLETE",""
"2026-03-30 14:57:58","SELL","NIFTY26APR22400CE","NRML","65/65",764.5,"COMPLETE",""
"2026-03-30 14:57:52","BUY","NIFTY26APR22600PE","NRML","65/65",804.1,"COMPLETE",""
"2026-03-30 14:57:43","SELL","NIFTY26APR22400CE","NRML","0/65",0,"REJECTED",""
"2026-03-30 14:57:36","BUY","NIFTY26APR22700CE","NRML","130/130",606.1,"COMPLETE",""
"2026-03-30 14:57:31","SELL","NIFTY26APR22400CE","NRML","0/65",0,"REJECTED",""
"2026-03-30 14:57:25","BUY","NIFTY26APR22700CE","NRML","65/65",609.4,"COMPLETE",""
"2026-03-30 14:57:15","BUY","BANKNIFTY26APR50500CE","NRML","0/30",0,"REJECTED",""
"2026-03-30 14:56:26","SELL","NIFTY26APR22300PE","NRML","65/65",664.05,"COMPLETE",""
"2026-03-30 14:56:20","BUY","NIFTY26APR22200PE","NRML","65/65",622.6,"COMPLETE",""
"2026-03-30 14:56:15","SELL","NIFTY26APR22300PE","NRML","65/65",663.85,"COMPLETE",""
"2026-03-30 14:56:08","BUY","NIFTY26APR22200PE","NRML","65/65",623.4,"COMPLETE",""
"2026-03-30 14:56:02","SELL","NIFTY26APR22300PE","NRML","65/65",665.1,"COMPLETE",""
"2026-03-30 14:55:56","BUY","NIFTY26APR22200PE","NRML","65/65",624.3,"COMPLETE",""
"2026-03-30 14:55:51","SELL","NIFTY26APR22300PE","NRML","65/65",665.2,"COMPLETE",""
"2026-03-30 14:55:44","BUY","NIFTY26APR22200PE","NRML","65/65",625,"COMPLETE",""
