"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR50000PE",60,1595.5,954.5,-38460,-40.18,""
"NRML","BANKNIFTY26APR50500CE",-60,1953.88,2497.2,-32599.5,27.81,""
"NRML","BANKNIFTY26APR51500CE",30,1528.05,1834.7,9199.5,20.07,""
"NRML","BANKNIFTY26APR51500PE",-30,1376.35,1464.6,-2647.5,6.41,""
"NRML","BANKNIFTY26APR52500CE",60,1989.75,1281.55,-42492,-35.59,""
"NRML","BANKNIFTY26APR53000CE",-30,617.25,1045.1,-12835.5,69.32,""
"NRML","BANKNIFTY26APR58500CE",90,708.97,48,-59487,-93.23,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,7.1,-16561.5,-92.84,""
"NRML","BANKNIFTY26APRFUT",90,53746.13,51910.2,-165234,-3.42,""
"NRML","BANKNIFTY26JUN51000CE",-30,3115.5,3260.95,-4363.5,4.67,""
"NRML","BANKNIFTY26JUNFUT",-60,52240,52300,-3600,0.11,""
"NRML","BANKNIFTY26MAY49500PE",90,1765.77,1232.65,-47980.5,-30.19,""
"NRML","BANKNIFTY26MAY50000PE",-60,1287.38,1435.75,-8902.5,11.53,""
"NRML","BANKNIFTY26MAY51000CE",30,2720,2814.45,2833.5,3.47,""
"NRML","BANKNIFTY26MAY52000CE",-60,2057.03,2175,-7078.5,5.74,""
"NRML","BANKNIFTY26MAY52500CE",90,1891.97,1929.5,3378,1.98,""
"NRML","BANKNIFTY26MAY54000CE",30,1810,1259.95,-16501.5,-30.39,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,100.1,-55497,-94.87,""
"NRML","BANKNIFTY26MAYFUT",-30,51970,52177.8,-6234,0.4,""
"NRML","NIFTY26APR22200CE",65,748.85,990.3,15694.25,32.24,""
"NRML","NIFTY26APR22200PE",260,599.24,397.65,-52412.75,-33.64,""
"NRML","NIFTY26APR22400CE",-195,764.55,856.1,-17852.25,11.97,""
"NRML","NIFTY26APR22400PE",-65,410.1,468,-3763.5,14.12,""
"NRML","NIFTY26APR23000CE",65,570.63,515,-16815.5,-9.75,""
"NRML","NIFTY26APR23000PE",-130,498.45,716.5,-28346.5,43.75,""
"NRML","NIFTY26APR23500CE",325,345.68,296,-21323.25,-14.37,""
"NRML","NIFTY26APR26000CE",130,160.43,9.45,-19626.75,-94.11,""
"NRML","NIFTY26APR27000CE",390,42.27,3.75,-15021.5,-91.13,""
"NRML","NIFTY26APRFUT",260,23393.38,22773,-161297.5,-2.65,""
"NRML","NIFTY26JUN24500CE",-65,403,344.85,3779.75,-14.43,""
"NRML","NIFTY26JUNFUT",-65,23250,23055.3,12655.5,-0.84,""
"NRML","NIFTY26MAY23000CE",130,914.5,775,-18135,-15.25,""
"NRML","NIFTY26MAY24000CE",-130,396.03,330,8583.25,-16.67,""
"NRML","NIFTY26MAYFUT",-195,22827.97,22915,-16971.5,0.38,""
"NRML","BANKNIFTY26APR50000CE",0,0,2835.5,13375.5,0,""
"NRML","BANKNIFTY26APR51000CE",0,0,2148.35,-3634.5,0,""
"NRML","BANKNIFTY26APR51000PE",0,0,1275.05,37429.5,0,""
"NRML","BANKNIFTY26MAY47000PE",0,0,713.95,6003,0,""
"NRML","BANKNIFTY26MAY50000CE",0,0,3464.15,13647,0,""
"NRML","BANKNIFTY26MAY51000PE",0,0,1708.75,56548.5,0,""
"NRML","NIFTY26APR22500PE",0,0,501.95,51766,0,""
