Product,Instrument,Qty.,Avg.,LTP,P&L,Chg.,Unnamed: 7
NRML,NIFTY26APR22200PE,195,591.45,311.3,-54629.25,-47.3666,
NRML,NIFTY26MAYFUT,-130,22796.7,23186.4,-50661.0,-1.7095,
NRML,BANKNIFTY26APR65000CE,180,99.11,7.25,-16534.5,-92.6848,
NRML,BANKNIFTY26APRFUT,60,54199.3,52896.2,-78186.0,-2.4043,
NRML,BANKNIFTY26MAY52000CE,-60,2057.03,2766.45,-42565.5,-34.4879,
NRML,NIFTY26MAY23000CE,130,914.5,910.45,-526.5,-0.4429,
NRML,NIFTY26APRFUT,130,23227.95,23057.0,-22223.5,-0.736,
NRML,BANKNIFTY26MAY50000PE,-30,1264.75,1081.35,5502.0,14.5009,
NRML,BANKNIFTY26APR58500CE,90,708.97,55.45,-58816.5,-92.1788,
NRML,NIFTY26APR23000PE,-130,512.27,563.2,-6620.25,-9.9409,
NRML,NIFTY26APR23500CE,130,322.12,374.5,6808.75,16.2592,
NRML,NIFTY26APR27000CE,260,41.06,3.75,-9701.25,-90.8676,
NRML,NIFTY26APR22400CE,-195,764.55,1032.55,-52260.0,-35.0533,
NRML,BANKNIFTY26MAY54000CE,150,1526.99,1647.35,18054.0,7.8822,
NRML,BANKNIFTY26APR50500CE,-60,1953.88,3164.65,-72646.5,-61.9679,
NRML,BANKNIFTY26JUN51000CE,-30,3115.5,3936.6,-24633.0,-26.3553,
NRML,BANKNIFTY26JUNFUT,-60,52240.0,53404.8,-69888.0,-2.2297,
NRML,NIFTY26MAY24000CE,-130,396.02,400.4,-568.75,-1.1047,
NRML,BANKNIFTY26APR52500CE,90,1699.82,1752.85,4773.0,3.1199,
NRML,NIFTY26APR26000CE,195,110.12,9.65,-19591.0,-91.2366,
NRML,BANKNIFTY26MAY60000CE,30,1950.0,131.5,-54555.0,-93.2564,
NRML,NIFTY26JUN24500CE,-65,403.0,420.4,-1131.0,-4.3176,
NRML,NIFTY26JUNFUT,-65,23250.0,23347.4,-6331.0,-0.4189,
NRML,BANKNIFTY26MAY49500PE,60,1766.85,959.65,-48432.0,-45.6858,
NRML,BANKNIFTY26APR53000CE,-30,617.25,1472.65,-25662.0,-138.5824,
NRML,BANKNIFTY26APR52500PE,30,1364.4,1377.6,396.0,0.9675,
NRML,BANKNIFTY26JUN54000CE,30,1640.0,2141.45,15043.5,30.5762,
NRML,NIFTY26APR23600CE,-65,230.85,329.25,-6396.0,-42.6251,
NRML,BANKNIFTY26MAY51500CE,30,2523.75,3118.9,17854.5,23.582,
NRML,NIFTY26APR23200CE,260,521.35,521.15,-52.0,-0.0384,
