"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR50500CE",-60,1953.88,4737,-166987.5,142.44,""
"NRML","BANKNIFTY26APR54600PE",30,986.55,938.1,-1453.5,-4.91,""
"NRML","BANKNIFTY26APR55500CE",60,1114.72,895.65,-13144.5,-19.65,""
"NRML","BANKNIFTY26APR58500CE",90,708.97,103.85,-54460.5,-85.35,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,7,-16579.5,-92.94,""
"NRML","BANKNIFTY26JUN51000CE",-30,3115.5,5460.85,-70360.5,75.28,""
"NRML","BANKNIFTY26JUN56000CE",60,2150,1869.75,-16815,-13.03,""
"NRML","BANKNIFTY26JUNFUT",-60,52240,55652.8,-204768,6.53,""
"NRML","BANKNIFTY26MAY49500PE",60,1766.85,405,-81711,-77.08,""
"NRML","BANKNIFTY26MAY52000CE",-30,2057.03,4019,-130593,95.38,""
"NRML","BANKNIFTY26MAY54500CE",-30,1363.45,2233,-26086.5,63.78,""
"NRML","BANKNIFTY26MAY54500PE",60,1454.95,1387.45,-4050,-4.64,""
"NRML","BANKNIFTY26MAY56000CE",120,1559.49,1308.85,-30076.5,-16.07,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,207,-52290,-89.38,""
"NRML","BANKNIFTY26MAYFUT",60,55744.73,55340,-23772,-0.73,""
"NRML","NIFTY26APR22400CE",-130,764.55,1560,-161612.75,104.04,""
"NRML","NIFTY26APR23800PE",65,422.05,392,-1953.25,-7.12,""
"NRML","NIFTY26APR24000CE",195,408.4,349.45,-11495.25,-14.43,""
"NRML","NIFTY26APR26000CE",195,110.12,8.25,-19864,-92.51,""
"NRML","NIFTY26APR27000CE",260,41.06,3.6,-9740.25,-91.23,""
"NRML","NIFTY26JUN23700PE",130,620.05,588.85,-4056,-5.03,""
"NRML","NIFTY26JUN24500CE",-65,403,594.95,-12476.75,47.63,""
"NRML","NIFTY26JUN25000CE",260,409.84,378.25,-8212.75,-7.71,""
"NRML","NIFTY26JUNFUT",-65,23250,24160,-59150,3.91,""
"NRML","NIFTY26MAY23700PE",130,531.83,505.8,-3383.25,-4.89,""
"NRML","NIFTY26MAY24000CE",-130,538.38,630,-29168.75,17.02,""
"NRML","NIFTY26MAY24500CE",325,414.5,374.6,-12967.5,-9.63,""
"NRML","NIFTY26MAYFUT",65,24082.95,23986,-10068.5,-0.4,""
"NRML","BANKNIFTY26APR52500CE",0,0,2960,146503.5,0,""
"NRML","BANKNIFTY26APR53000CE",0,0,2549.35,-44652,0,""
"NRML","BANKNIFTY26APR55000PE",0,0,1102.95,5073,0,""
"NRML","BANKNIFTY26APR55500PE",0,0,1335.85,4158,0,""
"NRML","BANKNIFTY26APRFUT",0,0,55059.8,86352,0,""
"NRML","BANKNIFTY26JUN54000CE",0,0,3074.7,54300,0,""
"NRML","BANKNIFTY26MAY53000CE",0,0,3260,84852,0,""
"NRML","BANKNIFTY26MAY54000CE",0,0,2518.75,146988,0,""
"NRML","BANKNIFTY26MAY54800PE",0,0,1470.9,9721.5,0,""
"NRML","BANKNIFTY26MAY55000PE",0,0,1544,4609.5,0,""
"NRML","BANKNIFTY26MAY55500PE",0,0,1827.8,5913,0,""
"NRML","NIFTY26APR22200PE",0,0,70.45,-103116,0,""
"NRML","NIFTY26APR23200CE",0,0,873.45,85075.25,0,""
"NRML","NIFTY26APR23400CE",0,0,724.2,74291.75,0,""
"NRML","NIFTY26APR24000PE",0,0,476.2,5664.75,0,""
"NRML","NIFTY26APRFUT",0,0,23864.5,30290,0,""
"NRML","NIFTY26JUN24000CE",0,0,865.3,19175,0,""
"NRML","NIFTY26JUN24000PE",0,0,690,8297.25,0,""
"NRML","NIFTY26JUN26000CE",0,0,122.65,-195,0,""
"NRML","NIFTY26MAY23000CE",0,0,1306.35,61568,0,""
"NRML","NIFTY26MAY23800PE",0,0,540.7,4715.75,0,""
"NRML","NIFTY26MAY24000PE",0,0,615,4166.5,0,""
