"Product","Instrument","Qty.","Avg.","LTP","P&L","Chg.",""
"NRML","BANKNIFTY26APR52000CE",-90,2285.95,2165,10885.5,-5.29,""
"NRML","BANKNIFTY26APR52000PE",60,1605.5,1635,1770,1.84,""
"NRML","BANKNIFTY26APR52500CE",60,1989.75,1854.95,-8088,-6.77,""
"NRML","BANKNIFTY26APR53500CE",-60,1394.8,1323,5329.5,-5.15,""
"NRML","BANKNIFTY26APR54500CE",30,1626.65,870,-22699.5,-46.52,""
"NRML","BANKNIFTY26APR58500CE",90,708.97,105.6,-54303,-85.11,""
"NRML","BANKNIFTY26APR65000CE",180,99.11,11.05,-15850.5,-88.85,""
"NRML","BANKNIFTY26APRFUT",120,54069.2,52505,-187704,-2.89,""
"NRML","BANKNIFTY26MAR55600CE",30,735.4,18.4,-21510,-97.5,""
"NRML","BANKNIFTY26MAR56000CE",30,465.75,13.5,-13567.5,-97.1,""
"NRML","BANKNIFTY26MAR59000CE",30,115.9,2.9,-3390,-97.5,""
"NRML","BANKNIFTY26MAR60000CE",25,61.9,1.5,-1510,-97.58,""
"NRML","BANKNIFTY26MAR63500CE",240,131.82,1.65,-31240.5,-98.75,""
"NRML","BANKNIFTY26MAY50000PE",-30,1310,1348.15,-1144.5,2.91,""
"NRML","BANKNIFTY26MAY51000PE",30,1605,1612,210,0.44,""
"NRML","BANKNIFTY26MAY52000CE",-30,2580,2722.3,-4269,5.52,""
"NRML","BANKNIFTY26MAY54000CE",30,1810,1646.6,-4902,-9.03,""
"NRML","BANKNIFTY26MAY60000CE",30,1950,206,-52320,-89.44,""
"NRML","BANKNIFTY26MAYFUT",-90,53788,52786,90180,-1.86,""
"NRML","NIFTY26APR22000PE",-65,422.3,427.75,-354.25,1.29,""
"NRML","NIFTY26APR22600PE",-65,533.4,617,-5434,15.67,""
"NRML","NIFTY26APR22700CE",-130,832.03,865,-4286.75,3.96,""
"NRML","NIFTY26APR22700PE",260,649.88,651.95,539.5,0.32,""
"NRML","NIFTY26APR23000PE",-130,498.45,776.65,-36166,55.81,""
"NRML","NIFTY26APR23100CE",-65,723.7,640.25,5424.25,-11.53,""
"NRML","NIFTY26APR23500CE",260,671.98,446.95,-58506.5,-33.49,""
"NRML","NIFTY26APR24000CE",-130,293.12,258.7,6405.75,-11.74,""
"NRML","NIFTY26APR26000CE",130,160.43,22.8,-17891.25,-85.79,""
"NRML","NIFTY26APR27000CE",390,42.27,9.25,-12876.5,-78.12,""
"NRML","NIFTY26APRFUT",260,23393.38,22894.8,-129629.5,-2.13,""
"NRML","NIFTY26MAY23000CE",130,914.5,910,-585,-0.49,""
"NRML","NIFTY26MAY24000CE",-65,437.05,437,3.25,-0.01,""
"NRML","NIFTY26MAY24500CE",-65,266.2,275.55,-607.75,3.51,""
"NRML","NIFTY26MAYFUT",-260,23388.58,23030,93229.5,-1.53,""
"NRML","BANKNIFTY26APR52400PE",0,0,1804.75,-327,0,""
"NRML","BANKNIFTY26APR52500PE",0,0,1838.15,12657,0,""
"NRML","BANKNIFTY26APR54000PE",0,0,2538,37459.5,0,""
"NRML","BANKNIFTY26APR56000CE",0,0,434,8412,0,""
"NRML","BANKNIFTY26APR56500CE",0,0,339.35,1657.5,0,""
"NRML","NIFTY26APR21900PE",0,0,394.7,-3776.5,0,""
"NRML","NIFTY26APR22900PE",0,0,735.65,23877.75,0,""
"NRML","NIFTY26APR23200PE",0,0,868.55,20455.5,0,""
