Date,Open,High,Low,Close,Volume
2000-01-03,0.09,0.09,0.08,0.09,300912000
2000-01-04,0.09,0.09,0.08,0.09,300480000
2000-01-05,0.08,0.09,0.08,0.08,188352000
2000-01-06,0.08,0.08,0.08,0.08,120480000
2000-01-07,0.08,0.08,0.08,0.08,71184000
2000-01-10,0.08,0.09,0.08,0.08,239856000
2000-01-11,0.08,0.08,0.08,0.08,148128000
2000-01-12,0.08,0.08,0.08,0.08,123552000
2000-01-13,0.08,0.08,0.08,0.08,132192000
2000-01-14,0.08,0.09,0.08,0.08,604560000
2000-01-18,0.08,0.09,0.08,0.09,261648000
2000-01-19,0.09,0.09,0.09,0.09,164688000
2000-01-20,0.09,0.09,0.09,0.09,179568000
2000-01-21,0.09,0.09,0.08,0.09,544272000
2000-01-24,0.09,0.09,0.08,0.08,256944000
2000-01-25,0.08,0.08,0.08,0.08,237120000
2000-01-26,0.08,0.08,0.08,0.08,232464000
2000-01-27,0.08,0.08,0.07,0.07,458208000
2000-01-28,0.07,0.07,0.07,0.07,194448000
2000-01-31,0.07,0.07,0.07,0.07,182400000
2000-02-01,0.07,0.07,0.07,0.07,92976000
2000-02-02,0.07,0.08,0.07,0.07,149040000
2000-02-03,0.08,0.08,0.08,0.08,108240000
2000-02-04,0.08,0.08,0.08,0.08,123696000
2000-02-07,0.08,0.08,0.07,0.07,217488000
2000-02-08,0.07,0.08,0.07,0.08,468816000
2000-02-09,0.08,0.08,0.08,0.08,589056000
2000-02-10,0.08,0.1,0.08,0.09,970080000
2000-02-11,0.1,0.1,0.09,0.1,423792000
2000-02-14,0.1,0.11,0.09,0.11,650112000
2000-02-15,0.11,0.11,0.1,0.11,450480000
2000-02-16,0.11,0.12,0.11,0.11,1019568000
2000-02-17,0.11,0.12,0.11,0.12,535776000
2000-02-18,0.11,0.13,0.11,0.13,960864000
2000-02-22,0.12,0.13,0.12,0.13,542496000
2000-02-23,0.12,0.13,0.12,0.13,511392000
2000-02-24,0.13,0.13,0.12,0.12,244320000
2000-02-25,0.12,0.12,0.11,0.12,278736000
2000-02-28,0.12,0.12,0.11,0.12,517872000
2000-02-29,0.12,0.12,0.12,0.12,306048000
2000-03-01,0.12,0.12,0.12,0.12,383568000
2000-03-02,0.12,0.12,0.11,0.11,191040000
2000-03-03,0.11,0.11,0.11,0.11,273696000
2000-03-06,0.11,0.12,0.11,0.11,432096000
2000-03-07,0.14,0.17,0.14,0.16,1952208000
2000-03-08,0.16,0.16,0.15,0.16,668736000
2000-03-09,0.16,0.21,0.16,0.19,952944000
2000-03-10,0.2,0.28,0.2,0.23,2161200000
2000-03-13,0.2,0.29,0.2,0.29,2415168000
2000-03-14,0.28,0.28,0.21,0.21,1567776000
2000-03-15,0.23,0.23,0.19,0.2,995616000
