date,Open,High,Low,Close,Volume
2001-03-09,28.92,29.59,28.38,29.04,5564944
2001-03-12,27.7,28.09,26.87,27.25,5883690
2001-03-13,27.01,29.04,26.37,28.98,9540472
2001-03-14,29.6,30.14,27.03,29.36,8709472
2001-03-15,29.43,29.72,28.1,29.26,9082099
2001-03-16,26.95,27.63,25.37,25.69,17089211
2001-03-19,25.14,26.11,24.42,25.56,5600467
2001-03-20,26.24,27.14,25.96,26.39,9529589
2001-03-21,25.44,26.24,24.24,26.24,6260887
2001-03-22,25.25,26.75,24.57,26.5,6140425
2001-03-23,28.74,29.69,28.14,28.9,10778290
2001-03-26,29.34,30.57,29.31,29.73,7340188
2001-03-27,29.25,29.71,28.49,29.71,6041112
2001-03-28,30.26,30.26,28.2,28.42,7298368
2001-03-29,27.46,28.92,27.21,28.53,5138261
2001-03-30,28.3,29.15,27.64,28.14,5150718
2001-04-02,27.92,28.03,26.03,26.58,5408001
2001-04-03,25.45,25.76,24.68,24.69,7493572
2001-04-04,24.02,26.02,23.23,25.09,13233255
2001-04-05,25.35,27.29,25.15,27.19,10333948
2001-04-06,28.25,28.31,25.75,26.54,5349276
2001-04-09,25.7,27.14,25.69,26.13,6655675
2001-04-10,26.33,27.92,26.25,27.91,6816656
2001-04-11,28.35,31.1,27.82,30.21,15313625
2001-04-12,29.87,30.26,28.76,29.4,5067627
2001-04-13,29.4,29.4,29.4,29.4,0
2001-04-16,29.4,29.4,29.4,29.4,0
2001-04-17,28.69,29.48,27.3,28.92,7553050
2001-04-18,31.26,32.99,30.77,32.99,12955987
2001-04-19,31.89,32.61,31.55,32.18,9713157
2001-04-20,33.22,33.56,32.17,33.12,9374905
2001-04-23,32.82,33.12,31.6,31.95,5624902
2001-04-24,31.88,33.11,31.44,32.66,6994817
2001-04-25,31.82,32.93,31.56,32.49,4821980
2001-04-26,32.77,33.12,32.15,32.94,5983893
2001-04-27,32.39,33.68,31.99,33.28,6539183
2001-04-30,33.28,33.28,33.28,33.28,0
2001-05-01,34.24,34.83,33.73,34.12,3928780
2001-05-02,34.89,35.14,33.66,34.99,7743913
2001-05-03,34.41,35.33,32.55,33.61,10235594
2001-05-04,32.96,33.19,32.01,33.0,9247568
2001-05-07,33.5,33.7,32.58,33.11,6668100
2001-05-08,32.78,32.83,31.88,32.5,7522592
2001-05-09,31.86,32.11,31.31,31.51,6218383
2001-05-10,31.6,34.09,31.44,33.61,13688616
2001-05-11,32.63,33.47,32.27,32.98,10025538
2001-05-14,32.71,32.71,31.56,31.61,6736234
2001-05-15,31.0,31.05,30.21,30.82,9915137
2001-05-16,30.29,30.93,29.5,30.6,7511368
2001-05-17,32.17,32.94,32.05,32.49,8612365
2001-05-18,32.23,33.5,32.07,33.5,7541552
2001-05-21,33.7,33.73,32.56,33.61,5265637
2001-05-22,34.61,36.03,34.61,35.62,12609795
2001-05-23,34.67,35.56,33.51,33.6,11040432
2001-05-24,33.27,34.06,32.84,33.17,3932407
2001-05-25,33.18,33.6,32.55,32.78,4506245
2001-05-28,32.77,33.06,32.05,32.55,2742637
2001-05-29,32.56,32.82,31.72,31.8,6713305
2001-05-30,31.05,31.19,30.15,30.49,10104069
2001-05-31,30.14,31.27,29.83,30.43,8326062
2001-06-01,30.59,31.47,29.73,30.89,4458813
2001-06-04,30.89,30.89,30.89,30.89,0
2001-06-05,31.45,32.15,31.31,31.96,5945974
2001-06-06,32.61,32.75,31.38,31.7,6718439
2001-06-07,31.76,32.59,31.21,32.5,5185693
2001-06-08,33.84,34.28,32.89,33.17,7005563
2001-06-11,33.16,33.16,32.3,32.72,3238517
2001-06-12,32.4,32.66,30.15,31.11,9910072
2001-06-13,31.78,32.63,31.64,32.54,5461593
2001-06-14,31.99,31.99,29.94,30.02,12753186
2001-06-15,29.15,29.69,27.44,28.73,13324902
2001-06-18,28.67,29.59,28.33,29.36,5532063
2001-06-19,29.45,30.3,28.03,29.23,9971603
