Date,Open,High,Low,Close,Volume
2007-09-17,6897.92,6977.12,6842.92,6897.02,0
2007-09-18,6921.07,7078.87,6883.52,7059.57,0
2007-09-19,7110.92,7419.26,7110.92,7401.76,0
2007-09-20,7404.86,7462.81,7343.51,7390.06,0
2007-09-21,7378.21,7506.26,7367.06,7464.41,0
2007-09-24,7514.31,7660.96,7514.31,7650.81,0
2007-09-25,7658.41,7694.16,7490.11,7629.06,0
2007-09-26,7647.01,7829.76,7591.71,7755.81,0
2007-09-27,7804.46,7866.41,7747.01,7833.56,0
2007-09-28,7838.16,8082.76,7835.96,8042.11,0
2007-10-01,8008.46,8085.06,7913.21,7987.41,0
2007-10-03,8029.71,8235.7,7820.16,8097.81,0
2007-10-04,8083.21,8086.61,7828.56,8035.81,0
2007-10-05,8038.01,8066.46,7789.61,7845.16,0
2007-10-08,7853.06,7935.36,7516.36,7626.31,0
2007-10-09,7580.81,7916.36,7534.96,7895.76,0
2007-10-10,7960.56,8080.96,7907.26,8030.56,0
2007-10-11,8054.21,8177.66,8005.41,8158.71,0
2007-10-12,8093.56,8132.01,7889.71,7933.91,0
2007-10-15,7962.46,8306.25,7962.46,8286.2,0
2007-10-16,8361.3,8491.55,8240.2,8452.1,0
2007-10-17,8071.46,8218.0,7641.41,8099.81,0
2007-10-18,8055.06,8192.36,7519.61,7608.66,0
2007-10-19,7637.31,7718.81,7279.22,7423.71,0
2007-10-22,7374.26,7621.56,7289.12,7567.91,0
2007-10-23,7620.96,8118.66,7620.96,8101.01,0
2007-10-24,8167.86,8276.55,8058.46,8228.55,0
2007-10-25,8228.1,8528.15,8185.45,8428.55,0
2007-10-26,8426.3,8804.8,8256.95,8749.8,0
2007-10-29,8917.95,9122.24,8865.55,9000.65,0
2007-10-30,9024.45,9237.69,8832.4,8934.05,0
2007-10-31,8906.2,9116.69,8839.3,9013.05,0
2007-11-01,9220.29,9357.89,9032.6,9198.49,0
2007-11-02,8953.3,9610.59,8898.1,9560.59,0
2007-11-05,9549.69,9692.39,9346.14,9397.44,0
2007-11-06,9383.44,9550.54,9129.74,9216.19,0
2007-11-07,9215.29,9387.94,9049.55,9090.09,0
2007-11-08,9090.69,9090.69,8816.85,8876.15,0
2007-11-12,8596.05,8819.8,8429.25,8758.1,0
2007-11-13,8761.25,9148.89,8642.75,9059.89,0
2007-11-14,9230.54,9651.74,9230.54,9612.94,0
2007-11-15,9560.09,9601.34,9422.24,9454.59,0
2007-11-16,9476.74,9538.54,9272.24,9474.04,0
2007-11-19,9540.99,9595.34,9367.74,9396.14,0
2007-11-20,9356.29,9574.74,9209.99,9277.74,0
2007-11-21,9272.09,9291.54,8766.25,8829.7,0
2007-11-22,8835.15,9084.09,8649.9,8998.7,0
2007-11-23,9051.64,9127.49,8821.05,8977.8,0
2007-11-26,9135.94,9254.94,9093.29,9122.34,0
2007-11-27,9087.49,9098.84,8977.85,9070.64,0
2007-11-28,9043.49,9216.04,8938.0,8970.75,0
2007-11-29,9124.69,9273.14,9063.14,9124.29,0
2007-11-30,9230.69,9437.84,9184.89,9375.64,0
2007-12-03,9391.09,9466.09,9384.24,9397.44,0
2007-12-04,9404.04,9452.59,9340.94,9366.99,0
2007-12-05,9373.34,9605.14,9373.34,9581.19,0
2007-12-06,9644.69,9759.59,9559.64,9620.04,0
2007-12-07,9677.74,9804.44,9605.34,9795.99,0
2007-12-10,9800.09,9889.19,9723.49,9864.49,0
2007-12-11,9961.53,10124.63,9899.84,10090.58,0
2007-12-12,9951.13,10086.48,9891.13,10056.58,0
2007-12-13,10088.28,10123.08,9891.79,9920.33,0
2007-12-14,9886.73,9948.83,9776.69,9803.04,0
2007-12-17,9790.44,9792.04,9362.29,9426.59,0
2007-12-18,9507.79,9507.79,9225.34,9279.09,0
2007-12-19,9363.84,9445.89,9125.34,9240.24,0
2007-12-20,9275.54,9332.74,9205.24,9245.34,0
2007-12-24,9316.34,9580.99,9316.34,9563.44,0
2007-12-26,9545.59,9771.89,9545.59,9755.09,0
2007-12-27,9809.89,9842.54,9746.69,9784.94,0
2007-12-28,9741.94,9840.24,9625.19,9828.24,0
2007-12-31,9861.59,9914.43,9790.29,9863.34,0
