Date,Open,High,Low,Close,Volume
2021-06-14,771.78,772.26,757.47,770.3,1598770
2021-06-15,770.21,776.08,768.92,771.4,1640381
2021-06-16,771.59,784.04,764.72,769.06,3863280
2021-06-17,765.11,772.64,756.09,768.64,1988175
2021-06-18,768.92,771.74,737.53,745.6,5793496
2021-06-21,740.3,743.02,727.28,741.11,3024852
2021-06-22,744.21,753.23,737.15,739.54,2925669
2021-06-23,745.93,749.84,739.35,745.98,2700327
2021-06-24,746.98,757.47,743.16,755.37,3251137
2021-06-25,756.71,765.01,753.66,757.71,1763201
2021-06-28,758.43,762.24,752.94,757.0,1409432
2021-06-29,752.7,755.57,743.55,745.64,3167773
2021-06-30,748.79,753.08,739.78,741.92,2393862
2021-07-01,742.21,762.0,739.25,743.59,5697553
2021-07-02,749.84,751.08,741.26,746.6,1963778
2021-07-05,749.84,757.0,748.41,755.33,1320469
2021-07-06,754.23,758.43,742.88,745.93,1420179
2021-07-07,742.02,745.93,733.19,743.07,3004815
2021-07-08,742.16,751.37,735.53,740.54,2010027
2021-07-09,736.49,740.3,731.72,736.06,1658120
2021-07-12,740.3,745.07,733.15,737.3,2681410
2021-07-13,742.11,746.22,738.06,745.21,2189466
2021-07-14,744.12,750.8,741.3,749.98,2067565
2021-07-15,753.46,756.3,747.86,752.4,2109663
2021-07-16,756.35,756.35,749.12,752.3,845054
2021-07-19,748.44,753.17,742.85,748.44,1265906
2021-07-20,747.67,748.34,725.82,733.39,2179910
2021-07-22,737.25,740.05,729.0,731.7,2182264
2021-07-23,731.75,740.77,731.51,737.25,1179241
2021-07-26,736.09,737.15,725.96,727.7,1187498
2021-07-27,729.34,733.2,716.46,719.26,1732564
2021-07-28,724.23,724.23,699.09,703.0,4016758
2021-07-29,704.26,712.79,700.49,705.65,2489035
2021-07-30,709.27,733.2,706.04,716.89,4642619
2021-08-02,723.55,732.28,718.34,730.98,2260861
2021-08-03,736.48,745.45,728.86,743.67,3235393
2021-08-04,745.74,748.44,737.59,739.23,2659372
2021-08-05,738.99,739.32,730.01,732.57,1451370
2021-08-06,736.86,745.06,728.37,731.51,4471604
2021-08-09,735.13,754.42,734.65,747.62,6700633
2021-08-10,749.55,761.95,747.81,758.57,4724852
2021-08-11,758.57,762.09,740.43,751.24,3147983
2021-08-12,753.46,766.63,746.46,748.83,3551026
2021-08-13,755.34,761.66,745.35,751.19,3391864
2021-08-16,752.88,775.6,752.73,771.11,7131928
2021-08-17,771.06,775.6,754.42,762.77,3835522
2021-08-18,765.9,768.89,759.15,763.44,2450964
2021-08-20,760.98,763.44,748.88,757.94,3050982
2021-08-23,762.14,765.47,736.72,738.89,2512960
2021-08-24,739.95,752.4,734.74,750.71,1662376
2021-08-25,753.41,755.39,743.38,744.82,1693443
2021-08-26,743.81,755.29,740.19,753.84,2576883
2021-08-27,752.4,757.32,738.02,747.81,2907125
2021-08-30,756.3,766.14,755.39,763.64,3028708
2021-08-31,760.21,767.74,753.75,765.32,3324467
2021-09-01,765.32,774.2,741.78,742.75,6031309
2021-09-02,745.59,746.85,723.55,725.91,4879865
2021-09-03,729.34,730.3,718.82,723.45,4257842
2021-09-06,726.45,733.01,720.7,728.13,3682183
2021-09-07,728.47,731.94,721.72,726.54,2273976
2021-09-08,729.34,731.08,722.59,728.13,2380939
2021-09-09,723.55,729.82,721.19,724.27,3313559
2021-09-13,726.93,726.93,714.24,719.26,3139833
2021-09-14,718.53,726.01,718.39,723.74,3089381
2021-09-15,725.48,733.2,720.17,728.47,3336656
2021-09-16,733.05,734.16,724.85,730.26,2686018
2021-09-17,731.46,738.99,722.73,727.55,5504398
2021-09-20,722.97,729.82,706.38,712.02,2933375
2021-09-21,714.0,714.77,703.82,712.41,2380834
2021-09-22,712.84,732.23,712.41,725.96,2287017
2021-09-23,729.82,735.13,726.2,731.7,1890322
2021-09-24,732.72,754.47,726.01,751.96,4967824
2021-09-27,761.66,785.05,755.44,782.74,9210666
2021-09-28,791.08,793.01,768.17,777.62,3853344
2021-09-29,771.79,786.93,770.82,783.46,2291977
2021-09-30,779.55,788.57,773.04,774.73,3264689
2021-10-01,771.79,801.69,759.25,798.66,7704216
2021-10-04,803.14,821.95,798.9,811.49,6544700
2021-10-05,811.49,816.17,805.6,813.32,2647442
2021-10-06,816.17,824.75,799.76,804.68,3288323
2021-10-07,810.09,856.49,807.63,847.28,9515673
2021-10-08,862.18,863.44,841.78,846.84,3938358
2021-10-11,848.0,870.67,848.0,864.02,5493159
2021-10-12,856.68,863.1,846.07,858.71,3433345
2021-10-13,861.51,936.9,861.51,902.36,17519612
2021-10-14,905.4,912.88,889.68,898.55,3354982
2021-10-18,924.22,924.22,876.27,878.82,2885649
2021-10-19,878.87,894.89,869.42,885.14,3476818
2021-10-20,880.8,892.28,863.1,867.63,3551282
2021-10-21,876.27,878.97,861.89,865.37,2614538
2021-10-22,872.12,877.72,853.89,856.54,1999394
2021-10-25,851.86,873.95,851.86,859.29,2833933
2021-10-26,861.89,868.26,852.83,863.0,3410657
2021-10-27,868.26,871.93,852.34,855.53,3362019
2021-10-28,855.72,864.4,846.94,852.68,2171227
2021-10-29,852.34,869.71,831.6,853.07,2482056
2021-11-01,853.07,856.59,830.06,839.66,4146270
2021-11-02,844.14,848.29,828.71,831.12,3704926
2021-11-03,833.53,839.22,813.27,819.06,3288759
2021-11-04,825.57,844.14,822.92,842.07,973315
2021-11-08,847.04,847.28,824.17,829.19,4481883
2021-11-09,833.53,873.47,832.18,860.69,15376349
2021-11-10,873.95,892.38,863.44,887.22,17083220
2021-11-11,886.54,896.05,878.87,892.14,4935551
2021-11-12,901.06,906.37,892.38,904.73,6239600
2021-11-15,902.03,915.1,888.62,895.66,3757546
2021-11-16,895.66,931.89,892.91,926.43,7368780
2021-11-17,926.1,944.47,913.84,920.79,5416608
