Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
17-DEC-2014,8041.2,8082,7961.35,8029.8,216216145,9966.02
16-DEC-2014,8172.6,8189.35,8052.6,8067.6,197337631,8920.29
15-DEC-2014,8160.75,8242.4,8152.5,8219.6,137140608,6720.94
12-DEC-2014,8302,8321.9,8216.3,8224.1,138080911,6894.03
11-DEC-2014,8338.85,8348.3,8272.4,8292.9,133862999,6718.85
10-DEC-2014,8318.05,8376.8,8317,8355.65,136656345,6738.18
09-DEC-2014,8439.3,8444.5,8330.5,8340.7,146266705,7115.31
08-DEC-2014,8538.65,8546.35,8432.25,8438.25,163819529,13929.39
05-DEC-2014,8584.25,8588.35,8523.9,8538.3,143345553,6452.4
04-DEC-2014,8582.4,8626.95,8526.4,8564.4,143477230,6687.99
03-DEC-2014,8528.7,8546.95,8508.35,8537.65,153199341,7664.86
02-DEC-2014,8535.45,8560.2,8504.65,8524.7,137386984,6753.13
01-DEC-2014,8605.1,8623,8545.15,8555.9,151990638,8565.14
28-NOV-2014,8516.8,8617,8516.25,8588.25,197214619,10053.47
27-NOV-2014,8477.8,8506.75,8456.35,8494.2,194298604,9556.05
26-NOV-2014,8450.3,8500.3,8438.65,8475.75,151922494,7123.76
25-NOV-2014,8530.8,8535.35,8429.45,8463.1,271914173,12210.62
24-NOV-2014,8490.95,8534.65,8490.8,8530.15,140657508,7180.3
21-NOV-2014,8408.2,8489.8,8398.6,8477.35,137015453,7889.99
20-NOV-2014,8406.5,8410.85,8353.15,8401.9,122775989,6218.34
19-NOV-2014,8440.65,8455.65,8360.5,8382.3,125399132,6997.58
18-NOV-2014,8441.25,8454.5,8407.25,8425.9,134678948,7323.18
17-NOV-2014,8378.4,8438.1,8349.1,8430.75,113879138,7270.5
14-NOV-2014,8360.7,8400.65,8346.8,8389.9,146768580,7849.19
13-NOV-2014,8405.25,8408,8320.35,8357.85,127361048,6511.91
12-NOV-2014,8378.9,8415.05,8370.5,8383.3,125243330,6535.31
11-NOV-2014,8354.1,8378.7,8321.85,8362.65,122010840,6559.73
10-NOV-2014,8337.8,8383.05,8304.45,8344.25,130749013,6932.28
07-NOV-2014,8331.85,8360.35,8290.25,8337,153433693,11379.2
05-NOV-2014,8351.25,8365.55,8323.5,8338.3,161614922,9021.74
03-NOV-2014,8348.15,8350.6,8297.65,8324.15,141090166,7439.54
31-OCT-2014,8200.8,8330.75,8198.05,8322.2,176165086,9450.53
30-OCT-2014,8085.2,8181.55,8085.2,8169.2,205666559,11023.46
29-OCT-2014,8077.05,8097.95,8052.25,8090.45,148313096,7406
28-OCT-2014,8002.4,8037.8,7995.05,8027.6,124058566,6993.84
27-OCT-2014,8064.35,8064.4,7985.65,7991.7,132824881,6511.8
23-OCT-2014,8027.7,8031.75,8008.85,8014.55,19640498,915.37
22-OCT-2014,7997.8,8005,7974.55,7995.9,151104463,7301.77
21-OCT-2014,7906.15,7936.6,7874.35,7927.75,163403385,8432.94
20-OCT-2014,7896.95,7905.95,7856.95,7879.4,176171562,8357.41
17-OCT-2014,7733.75,7819.2,7723.85,7779.7,177623196,9626.9
16-OCT-2014,7837.3,7893.9,7729.65,7748.2,213529479,9087.06
14-OCT-2014,7923.25,7928,7825.45,7864,225472732,7709
13-OCT-2014,7831,7901.15,7796,7884.25,118781369,6584.44
10-OCT-2014,7911,7924.05,7848.45,7859.95,142926893,8473.9
09-OCT-2014,7886.5,7972.35,7886.5,7960.55,123767811,6797.45
08-OCT-2014,7828.75,7869.9,7815.75,7842.7,135914083,7408.61
07-OCT-2014,7897.4,7943.05,7842.7,7852.4,148199508,7982.75
01-OCT-2014,7960.5,7977.5,7936.7,7945.55,112997913,5979.61
30-SEP-2014,7948.8,8030.9,7923.85,7964.8,141142071,7467.66
29-SEP-2014,7978.45,7991.75,7934.7,7958.9,97267975,5089.35
26-SEP-2014,7885.85,7993.3,7841.8,7968.85,147835866,8247.78
25-SEP-2014,8003.3,8019.3,7877.35,7911.85,231899016,11692.69
24-SEP-2014,8015.55,8042.05,7950.05,8002.4,182208501,7981.87
23-SEP-2014,8144.4,8159.75,8008.1,8017.55,140780912,7947.61
22-SEP-2014,8084.45,8159.9,8064.8,8146.3,105507265,5710.43
19-SEP-2014,8129.4,8160.9,8105.35,8121.45,161284509,8957.42
18-SEP-2014,7950.65,8120.85,7939.7,8114.75,116930309,6891.09
17-SEP-2014,7971.5,7990.65,7936.95,7975.5,123722390,6689.37
16-SEP-2014,8036.6,8044.9,7925.15,7932.9,127952551,6647.49
15-SEP-2014,8070.35,8077.3,8030,8042,96502556,5387.06
12-SEP-2014,8087.05,8114.3,8071.6,8105.5,111444349,6156.73
11-SEP-2014,8115.15,8127.95,8057.3,8085.7,122818159,6492.35
10-SEP-2014,8135.55,8135.75,8082.1,8094.1,107064326,5561.6
09-SEP-2014,8161.9,8174.55,8126.5,8152.95,104740540,5364.95
08-SEP-2014,8132.95,8180.2,8126.15,8173.9,120694390,6623.08
05-SEP-2014,8099.9,8122.7,8049.85,8086.85,125981094,6559.7
